distance,airport_1,airport_2,daily_passengers,state_1,city_1,state_2,city_2,population_1,density_1,population_2,density_2,lat_1,lon_1,lat_2,lon_2
1342,AUS,IAD,222.21186440677965,TX,Austin,DC,Washington,1905945.0,1154.1,5116378.0,4235.7,30.264979,-97.746598,38.892062,-77.019912
1340,AUS,IAD,222.21186440677965,TX,Austin,DC,Washington,1905945.0,1154.1,5116378.0,4235.7,30.264979,-97.746598,38.892062,-77.019912
587,BNA,IAD,108.61864406779661,TN,Nashville,DC,Washington,1177657.0,555.4,5116378.0,4235.7,36.166687,-86.779932,38.892062,-77.019912
588,BNA,IAD,108.61864406779661,TN,Nashville,DC,Washington,1177657.0,555.4,5116378.0,4235.7,36.166687,-86.779932,38.892062,-77.019912
612,BNA,PIE,42.76,TN,Nashville,FL,Tampa,1177657.0,555.4,2861173.0,1320.9,36.166687,-86.779932,37.8606,-78.804199
613,BNA,PIE,42.76,TN,Nashville,FL,Tampa,1177657.0,555.4,2861173.0,1320.9,36.166687,-86.779932,37.8606,-78.804199
740,BOS,GRR,142.27777777777777,MA,Boston,MI,Grand Rapids,4328315.0,5319.0,609023.0,1708.2,42.358894,-71.056742,47.925705,-97.036068
818,BOS,IND,327.7118644067797,MA,Boston,IN,Indianapolis,4328315.0,5319.0,1729849.0,941.8,42.358894,-71.056742,39.76845,-86.156212
817,BOS,IND,327.7118644067797,MA,Boston,IN,Indianapolis,4328315.0,5319.0,1729849.0,941.8,42.358894,-71.056742,39.76845,-86.156212
487,BOS,ORF,162.82051282051282,MA,Boston,VA,Norfolk,4328315.0,5319.0,236973.0,1717.4,42.358894,-71.056742,36.846164,-76.285913
917,BOS,SAV,214.80188679245282,MA,Boston,GA,Savannah,4328315.0,5319.0,316050.0,524.8,42.358894,-71.056742,40.115007,-111.654713
1240,BOS,SRQ,217.0,MA,Boston,FL,Sarasota,4328315.0,5319.0,55508.0,1458.3,42.358894,-71.056742,27.336483,-82.538602
806,FLL,BNA,473.54237288135596,FL,Miami,TN,Nashville,6080145.0,4758.9,1177657.0,555.4,44.977479,-93.264346,36.166687,-86.779932
812,FLL,ORF,142.78813559322035,FL,Miami,VA,Norfolk,6080145.0,4758.9,236973.0,1717.4,44.977479,-93.264346,36.846164,-76.285913
1355,FLL,PBG,266.741935483871,FL,Miami,NY,Plattsburgh,6080145.0,4758.9,19907.0,1525.5,44.977479,-93.264346,44.699668,-73.451807
1334,FLL,PBG,266.741935483871,FL,Miami,NY,Plattsburgh,6080145.0,4758.9,19907.0,1525.5,44.977479,-93.264346,44.699668,-73.451807
1139,FLL,SWF,123.28571428571429,FL,Miami,NY,New York City,6080145.0,4758.9,18908608.0,11080.3,44.977479,-93.264346,40.123164,-75.333718
1118,FLL,SWF,123.28571428571429,FL,Miami,NY,New York City,6080145.0,4758.9,18908608.0,11080.3,44.977479,-93.264346,40.123164,-75.333718
1217,FLL,SYR,157.23595505617976,FL,Miami,NY,Syracuse,6080145.0,4758.9,410732.0,2251.6,44.977479,-93.264346,43.047945,-76.147448
663,JAX,IAD,135.53389830508473,FL,Jacksonville,DC,Washington,1288298.0,491.0,5116378.0,4235.7,30.325968,-81.65676,38.892062,-77.019912
547,JAX,ORF,219.9156626506024,FL,Jacksonville,VA,Norfolk,1288298.0,491.0,236973.0,1717.4,30.325968,-81.65676,36.846164,-76.285913
546,JAX,ORF,219.9156626506024,FL,Jacksonville,VA,Norfolk,1288298.0,491.0,236973.0,1717.4,30.325968,-81.65676,36.846164,-76.285913
276,LAS,AZA,32.765957446808514,NV,Las Vegas,AZ,Phoenix,2248047.0,1755.1,4064275.0,1198.9,36.169202,-115.140597,30.406931,-87.217578
236,LAS,LAX,2699.2542372881358,NV,Las Vegas,CA,Los Angeles,2248047.0,1755.1,11922389.0,3184.7,36.169202,-115.140597,34.052238,-118.243344
240,LAS,LAX,2699.2542372881358,NV,Las Vegas,CA,Los Angeles,2248047.0,1755.1,11922389.0,3184.7,36.169202,-115.140597,34.052238,-118.243344
962,LAX,GEG,250.64406779661016,CA,Los Angeles,WA,Spokane,11922389.0,3184.7,456219.0,1279.8,34.052238,-118.243344,47.658999,-117.425022
1203,LAX,ICT,102.27272727272727,CA,Los Angeles,KS,Wichita,11922389.0,3184.7,509003.0,938.5999999999999,34.052238,-118.243344,39.960481,-75.605214
1619,LAX,MEM,292.52542372881356,CA,Los Angeles,TN,Memphis,11922389.0,3184.7,1037998.0,824.8,34.052238,-118.243344,35.143378,-90.052136
659,LAX,MFR,152.53535353535352,CA,Los Angeles,OR,Medford,11922389.0,3184.7,168959.0,1191.6,34.052238,-118.243344,42.064492,-87.93678
935,LAX,MSO,123.27272727272727,CA,Los Angeles,MT,Missoula,11922389.0,3184.7,88780.0,828.8,34.052238,-118.243344,38.937593,-77.183779
1330,LAX,OMA,260.58474576271186,CA,Los Angeles,NE,Omaha,11922389.0,3184.7,821345.0,1323.9,34.052238,-118.243344,46.07035,-93.666319
871,LAX,PSC,99.52631578947368,CA,Los Angeles,WA,Pasco,11922389.0,3184.7,77274.0,873.1,34.052238,-118.243344,37.123874,-76.391902
1423,LAX,SGF,72.75,CA,Los Angeles,MO,Springfield,11922389.0,3184.7,286280.0,784.5,34.052238,-118.243344,39.79936,-89.643624
1283,LAX,TUL,177.22881355932202,CA,Los Angeles,OK,Tulsa,11922389.0,3184.7,731743.0,804.2,34.052238,-118.243344,61.096484,-160.967455
773,MDW,SAV,41.116883116883116,IL,Chicago,GA,Savannah,8497759.0,4614.5,316050.0,524.8,41.775002,-87.696388,40.115007,-111.654713
475,MDW,TYS,8.759493670886076,IL,Chicago,TN,Knoxville,8497759.0,4614.5,615829.0,750.3,41.775002,-87.696388,35.962631,-83.916677
601,MYR,SWF,15.452991452991453,SC,Myrtle Beach,NY,New York City,332181.0,594.6,18908608.0,11080.3,33.68785,-78.883852,40.123164,-75.333718
726,ORF,PIE,28.36,VA,Norfolk,FL,Tampa,236973.0,1717.4,2861173.0,1320.9,36.846164,-76.285913,37.8606,-78.804199
1081,PHX,FSD,77.89583333333333,AZ,Phoenix,SD,Sioux Falls,4064275.0,1198.9,204484.0,926.0,30.406931,-87.217578,43.488765,-96.743185
1020,PHX,GEG,364.3692307692308,AZ,Phoenix,WA,Spokane,4064275.0,1198.9,456219.0,1279.8,30.406931,-87.217578,47.658999,-117.425022
1034,PHX,GEG,364.3692307692308,AZ,Phoenix,WA,Spokane,4064275.0,1198.9,456219.0,1279.8,30.406931,-87.217578,47.658999,-117.425022
870,PHX,ICT,117.29166666666667,AZ,Phoenix,KS,Wichita,4064275.0,1198.9,509003.0,938.6,30.406931,-87.217578,39.960481,-75.605214
1009,PHX,PDX,1345.8,AZ,Phoenix,OR,Portland,4064275.0,1198.9,2095808.0,1868.8,30.406931,-87.217578,45.516018,-122.681425
1028,PHX,PDX,1345.8,AZ,Phoenix,OR,Portland,4064275.0,1198.9,2095808.0,1868.8,30.406931,-87.217578,45.516018,-122.681425
1814,PHX,PIT,402.73846153846154,AZ,Phoenix,PA,Pittsburgh,4064275.0,1198.9,1749091.0,2118.5,30.406931,-87.217578,40.442169,-79.994945
1813,PHX,PIT,402.73846153846154,AZ,Phoenix,PA,Pittsburgh,4064275.0,1198.9,1749091.0,2118.5,30.406931,-87.217578,40.442169,-79.994945
477,PHX,PVU,58.1,AZ,Phoenix,UT,Provo,4064275.0,1198.9,619218.0,1059.2,30.406931,-87.217578,41.824461,-71.412747
1082,PHX,SGF,24.6,AZ,Phoenix,MO,Springfield,4064275.0,1198.9,286280.0,784.5,30.406931,-87.217578,39.79936,-89.643624
1120,RSW,SWF,11.336448598130842,FL,Fort Myers,NY,New York City,88699.0,858.3,18908608.0,11080.3,40.253979,-103.801495,40.123164,-75.333718
962,SNA,GEG,119.3135593220339,CA,Los Angeles,WA,Spokane,11922389.0,3184.7,456219.0,1279.8,34.052238,-118.243344,47.658999,-117.425022
659,SNA,MFR,30.848484848484848,CA,Los Angeles,OR,Medford,11922389.0,3184.7,168959.0,1191.6,34.052238,-118.243344,42.064492,-87.93678
935,SNA,MSO,23.545454545454547,CA,Los Angeles,MT,Missoula,11922389.0,3184.7,88780.0,828.8,34.052238,-118.243344,38.937593,-77.183779
880,SRQ,IAD,42.0,FL,Sarasota,DC,Washington,55508.0,1458.3,5116378.0,4235.7,27.336483,-82.538602,38.892062,-77.019912
819,VPS,BWI,81.39285714285714,FL,Valparaiso,DC,Washington,4889.0,160.8,5116378.0,4235.7,41.478143,-87.055372,38.892062,-77.019912
819,VPS,IAD,20.928571428571427,FL,Valparaiso,DC,Washington,4889.0,160.8,5116378.0,4235.7,41.478143,-87.055372,38.892062,-77.019912
190,AUS,DAL,875.0508474576271,TX,Austin,TX,Dallas,1905945.0,1154.1,5830932.0,1478.7,30.264979,-97.746598,40.11086,-77.035636
190,AUS,DFW,331.8474576271187,TX,Austin,TX,Dallas,1905945.0,1154.1,5830932.0,1478.7,30.264979,-97.746598,40.11086,-77.035636
872,AUS,PHX,644.5230769230769,TX,Austin,AZ,Phoenix,1905945.0,1154.1,4064275.0,1198.9,30.264979,-97.746598,30.406931,-87.217578
1698,AUS,BOS,460.8728813559322,TX,Austin,MA,Boston,1905945.0,1154.1,4328315.0,5319.0,30.264979,-97.746598,42.358894,-71.056742
1698,AUS,MHT,43.21186440677966,TX,Austin,MA,Boston,1905945.0,1154.1,4328315.0,5319.0,30.264979,-97.746598,42.358894,-71.056742
1698,AUS,PVD,69.77118644067797,TX,Austin,MA,Boston,1905945.0,1154.1,4328315.0,5319.0,30.264979,-97.746598,42.358894,-71.056742
1342,AUS,BWI,380.0508474576271,TX,Austin,DC,Washington,1905945.0,1154.1,5116378.0,4235.7,30.264979,-97.746598,38.892062,-77.019912
1342,AUS,DCA,276.27966101694915,TX,Austin,DC,Washington,1905945.0,1154.1,5116378.0,4235.7,30.264979,-97.746598,38.892062,-77.019912
977,AUS,MDW,233.01694915254237,TX,Austin,IL,Chicago,1905945.0,1154.1,8497759.0,4614.5,30.264979,-97.746598,41.775002,-87.696388
977,AUS,ORD,666.3898305084746,TX,Austin,IL,Chicago,1905945.0,1154.1,8497759.0,4614.5,30.264979,-97.746598,41.775002,-87.696388
1559,AUS,EWR,514.3050847457627,TX,Austin,NY,New York City,1905945.0,1154.1,18908608.0,11080.3,30.264979,-97.746598,40.123164,-75.333718
1559,AUS,HPN,16.661016949152543,TX,Austin,NY,New York City,1905945.0,1154.1,18908608.0,11080.3,30.264979,-97.746598,40.123164,-75.333718
1559,AUS,ISP,17.338983050847457,TX,Austin,NY,New York City,1905945.0,1154.1,18908608.0,11080.3,30.264979,-97.746598,40.123164,-75.333718
1559,AUS,JFK,490.22033898305085,TX,Austin,NY,New York City,1905945.0,1154.1,18908608.0,11080.3,30.264979,-97.746598,40.123164,-75.333718
1559,AUS,LGA,242.07627118644066,TX,Austin,NY,New York City,1905945.0,1154.1,18908608.0,11080.3,30.264979,-97.746598,40.123164,-75.333718
1559,AUS,SWF,12.669811320754716,TX,Austin,NY,New York City,1905945.0,1154.1,18908608.0,11080.299999999997,30.264979,-97.746598,40.123164,-75.333718
1504,AUS,OAK,165.84745762711864,TX,Austin,CA,San Francisco,1905945.0,1154.1,3364979.0,7030.7,30.264979,-97.746598,37.78008,-122.420168
1504,AUS,SFO,595.4152542372881,TX,Austin,CA,San Francisco,1905945.0,1154.1,3364979.0,7030.7,30.264979,-97.746598,37.78008,-122.420168
1504,AUS,SJC,511.40677966101697,TX,Austin,CA,San Francisco,1905945.0,1154.1,3364979.0,7030.7,30.264979,-97.746598,37.78008,-122.420168
1105,AUS,FLL,287.48275862068965,TX,Austin,FL,Miami,1905945.0,1154.1,6080145.0,4758.9,30.264979,-97.746598,44.977479,-93.264346
1105,AUS,MIA,162.39655172413794,TX,Austin,FL,Miami,1905945.0,1154.1,6080145.0,4758.9,30.264979,-97.746598,44.977479,-93.264346
1242,AUS,BUR,62.228813559322035,TX,Austin,CA,Los Angeles,1905945.0,1154.1,11922389.0,3184.7,30.264979,-97.746598,34.052238,-118.243344
1242,AUS,LAX,892.3728813559322,TX,Austin,CA,Los Angeles,1905945.0,1154.1,11922389.0,3184.7,30.264979,-97.746598,34.052238,-118.243344
1242,AUS,LGB,120.69491525423729,TX,Austin,CA,Los Angeles,1905945.0,1154.1,11922389.0,3184.7,30.264979,-97.746598,34.052238,-118.243344
1242,AUS,ONT,99.41525423728814,TX,Austin,CA,Los Angeles,1905945.0,1154.1,11922389.0,3184.7,30.264979,-97.746598,34.052238,-118.243344
1242,AUS,SNA,168.16949152542372,TX,Austin,CA,Los Angeles,1905945.0,1154.1,11922389.0,3184.7,30.264979,-97.746598,34.052238,-118.243344
928,AUS,TPA,251.15384615384616,TX,Austin,FL,Tampa,1905945.0,1154.1,2861173.0,1320.9,30.264979,-97.746598,37.8606,-78.804199
1107,PHX,SEA,2283.3582089552237,AZ,Phoenix,WA,Seattle,4064275.0,1198.9,3561397.0,3376.6,30.406931,-87.217578,47.603229,-122.33028
1999,PHX,BWI,778.0338983050848,AZ,Phoenix,DC,Washington,4064275.0,1198.9,5116378.0,4235.7,30.406931,-87.217578,38.892062,-77.019912
1999,PHX,DCA,434.3220338983051,AZ,Phoenix,DC,Washington,4064275.0,1198.9,5116378.0,4235.7,30.406931,-87.217578,38.892062,-77.019912
1999,PHX,IAD,244.38135593220338,AZ,Phoenix,DC,Washington,4064275.0,1198.9,5116378.0,4235.7,30.406931,-87.217578,38.892062,-77.019912
1262,PHX,STL,696.2153846153847,AZ,Phoenix,MO,St. Louis,4064275.0,1198.9,2130881.0,1864.3,30.406931,-87.217578,38.630276,-90.200309
668,PHX,OAK,1074.0338983050847,AZ,Phoenix,CA,San Francisco,4064275.0,1198.9,3364979.0,7030.7,30.406931,-87.217578,37.78008,-122.420168
668,PHX,SFO,1248.9915254237287,AZ,Phoenix,CA,San Francisco,4064275.0,1198.9,3364979.0,7030.7,30.406931,-87.217578,37.78008,-122.420168
668,PHX,SJC,1046.8474576271187,AZ,Phoenix,CA,San Francisco,4064275.0,1198.9,3364979.0,7030.7,30.406931,-87.217578,37.78008,-122.420168
